order_id,order_date,customer_id,order_status,payment_method
1,2023-08-27,1556,Shipped,PayPal
2,2023-07-04,8868,Shipped,"Credit Card"
3,2024-08-18,4188,Shipped,"Credit Card"
4,2024-08-29,7768,Shipped,Cash
5,2025-06-19,37,Shipped,"Credit Card"
6,2024-02-17,1788,Shipped,"Credit Card"
7,2024-09-03,6284,Shipped,Cash
8,2024-06-13,8061,Processing,"Credit Card"
9,2024-03-12,8066,Shipped,Cash
10,2023-10-11,3881,Shipped,"Debit Card"
11,2025-01-21,5933,Shipped,"Credit Card"
12,2024-04-12,8329,Shipped,Cash
13,2023-09-08,6334,Shipped,PayPal
14,2025-06-10,5760,Processing,Cash
15,2024-09-02,6486,Shipped,Cash
16,2024-04-03,5068,Shipped,Cash
17,2024-09-07,662,Shipped,Cash
18,2024-05-04,7974,Shipped,PayPal
19,2025-05-28,6387,Shipped,"Credit Card"
20,2024-02-19,7888,Shipped,"Debit Card"
21,2024-01-15,415,Shipped,"Debit Card"
22,2024-08-10,6851,Shipped,"Debit Card"
23,2025-06-10,8535,Cancelled,"Credit Card"
24,2023-09-26,2730,Shipped,Cash
25,2024-03-02,3898,Shipped,Cash
26,2024-10-22,2170,Shipped,"Credit Card"
27,2023-11-29,1879,Shipped,PayPal
28,2025-03-24,6455,Processing,Cash
29,2024-10-22,4571,Shipped,Cash
30,2024-06-16,1516,Shipped,PayPal
31,2024-11-08,575,Shipped,Cash
32,2025-02-20,2868,Shipped,PayPal
33,2023-12-03,3545,Shipped,PayPal
34,2025-06-17,4478,Shipped,"Credit Card"
35,2024-04-02,72,Shipped,PayPal
36,2025-03-25,2981,Shipped,PayPal
37,2023-06-30,9310,Shipped,PayPal
38,2024-06-25,5493,Processing,"Debit Card"
39,2025-02-13,9552,Shipped,Cash
40,2023-07-20,4760,Cancelled,"Credit Card"
41,2023-11-05,9708,Shipped,Cash
42,2024-12-24,8085,Processing,Cash
43,2024-12-21,40,Cancelled,"Credit Card"
44,2024-03-11,9575,Shipped,"Credit Card"
45,2023-07-17,5374,Processing,"Debit Card"
46,2024-07-26,7566,Cancelled,PayPal
47,2024-09-16,1901,Shipped,"Credit Card"
48,2024-09-27,2218,Processing,Cash
49,2023-08-02,4797,Shipped,"Debit Card"
50,2024-10-25,4607,Shipped,PayPal
51,2024-08-03,1284,Processing,PayPal
52,2025-05-07,8776,Cancelled,"Credit Card"
53,2025-01-11,8651,Shipped,Cash
54,2025-04-27,816,Shipped,PayPal
55,2024-09-20,2512,Shipped,"Credit Card"
56,2024-04-22,247,Shipped,PayPal
57,2023-11-29,4826,Shipped,"Credit Card"
58,2024-10-11,6517,Shipped,Cash
59,2025-01-28,417,Cancelled,"Credit Card"
60,2025-01-27,6703,Shipped,"Credit Card"
61,2024-07-10,3718,Shipped,Cash
62,2024-10-01,108,Shipped,Cash
63,2023-08-30,9031,Processing,"Credit Card"
64,2024-05-19,4514,Shipped,"Credit Card"
65,2025-04-10,1422,Shipped,Cash
66,2025-06-10,7284,Shipped,"Debit Card"
67,2023-07-04,256,Cancelled,PayPal
68,2025-04-07,7249,Shipped,"Debit Card"
69,2025-03-10,9030,Processing,PayPal
70,2025-03-18,2963,Shipped,"Debit Card"
71,2023-09-28,2283,Shipped,"Credit Card"
72,2025-02-28,8745,Shipped,Cash
73,2024-04-15,8373,Shipped,PayPal
74,2023-11-25,1478,Shipped,"Debit Card"
75,2023-06-30,8763,Shipped,Cash
76,2023-06-24,4953,Processing,PayPal
77,2023-11-18,5881,Shipped,"Credit Card"
78,2025-02-11,9920,Cancelled,"Debit Card"
79,2025-01-21,5593,Processing,PayPal
80,2023-12-24,7092,Shipped,Cash
81,2024-01-05,592,Shipped,"Debit Card"
82,2024-06-27,6278,Shipped,"Debit Card"
83,2023-08-17,2261,Shipped,PayPal
84,2025-03-28,348,Shipped,Cash
85,2024-06-13,8358,Shipped,"Debit Card"
86,2024-10-10,5033,Shipped,"Credit Card"
87,2024-11-11,4444,Cancelled,"Credit Card"
88,2024-04-26,8775,Shipped,"Credit Card"
89,2024-02-05,6870,Shipped,"Debit Card"
90,2024-11-17,5697,Processing,Cash
91,2023-07-20,3039,Processing,Cash
92,2024-06-10,2846,Shipped,PayPal
93,2023-07-22,7865,Processing,Cash
94,2025-05-03,6610,Processing,PayPal
95,2024-08-31,1266,Processing,PayPal
96,2024-10-05,2275,Shipped,PayPal
97,2024-01-02,2471,Shipped,"Debit Card"
98,2024-12-02,2578,Shipped,"Credit Card"
99,2024-01-08,3661,Returned,"Debit Card"
100,2025-02-12,1069,Processing,"Credit Card"
101,2024-02-09,5592,Cancelled,"Debit Card"
102,2024-11-25,5975,Shipped,PayPal
103,2025-01-12,4830,Shipped,Cash
104,2023-10-15,1951,Shipped,Cash
105,2024-07-20,8284,Shipped,Cash
106,2023-07-17,3094,Processing,PayPal
107,2024-10-30,5312,Shipped,PayPal
108,2024-05-04,1388,Shipped,PayPal
109,2023-12-04,4275,Returned,Cash
110,2023-11-13,2286,Shipped,"Credit Card"
111,2024-12-18,3207,Returned,"Debit Card"
112,2024-03-18,2925,Shipped,Cash
113,2024-06-08,7046,Shipped,PayPal
114,2023-08-17,8472,Cancelled,"Credit Card"
115,2024-01-08,1619,Shipped,"Debit Card"
116,2023-07-14,8563,Shipped,Cash
117,2024-10-19,5897,Shipped,Cash
118,2024-02-27,7844,Shipped,Cash
119,2024-06-05,9896,Shipped,"Debit Card"
120,2025-02-01,7064,Shipped,"Debit Card"
121,2024-10-13,8496,Cancelled,PayPal
122,2024-12-23,1349,Shipped,"Debit Card"
123,2024-08-13,5557,Shipped,"Debit Card"
124,2023-09-29,5290,Processing,PayPal
125,2024-01-27,2423,Shipped,"Debit Card"
126,2024-07-01,3629,Shipped,"Debit Card"
127,2024-07-21,2429,Shipped,"Debit Card"
128,2024-12-17,3034,Cancelled,"Debit Card"
129,2024-05-13,6158,Processing,PayPal
130,2025-03-03,8861,Shipped,"Credit Card"
131,2025-03-13,8692,Cancelled,Cash
132,2023-12-26,7814,Shipped,Cash
133,2024-08-18,1415,Shipped,Cash
134,2023-08-04,6709,Shipped,"Debit Card"
135,2024-04-06,8722,Shipped,PayPal
136,2024-09-23,6636,Shipped,Cash
137,2023-08-07,3622,Shipped,"Credit Card"
138,2025-01-03,5316,Processing,"Debit Card"
139,2024-02-07,755,Shipped,"Credit Card"
140,2024-03-12,2348,Shipped,"Credit Card"
141,2024-05-07,727,Processing,Cash
142,2024-10-08,4924,Shipped,"Credit Card"
143,2023-12-01,2650,Shipped,Cash
144,2024-06-03,2816,Shipped,"Debit Card"
145,2024-07-02,9067,Shipped,"Credit Card"
146,2023-11-08,3280,Processing,"Debit Card"
147,2023-10-13,2985,Shipped,Cash
148,2025-03-03,3808,Processing,"Credit Card"
149,2024-01-08,7877,Shipped,"Credit Card"
