order_item_id,order_id,product_id,quantity,discount
1,1,50,1,0.1
2,2,1,2,0.05
3,2,455,1,0
4,3,125,4,0
5,3,16,1,0
6,3,369,2,0.05
7,3,10,1,0.05
8,3,333,4,0.05
9,4,255,3,0
10,4,141,2,0.15
11,4,325,3,0.1
12,4,207,2,0.05
13,5,482,1,0
14,5,207,4,0
15,5,338,3,0.1
16,6,179,3,0
17,6,364,4,0
18,6,339,4,0
19,6,13,3,0.1
20,6,466,2,0
21,7,232,2,0.1
22,8,439,2,0
23,9,330,3,0.15
24,9,272,3,0.05
25,9,432,3,0.1
26,9,408,2,0.1
27,10,410,2,0.05
28,11,193,4,0.15
29,11,341,3,0.05
30,12,295,1,0.05
31,12,402,1,0.1
32,12,117,4,0.1
33,13,122,2,0.1
34,14,139,4,0.15
35,14,497,4,0.05
36,15,287,2,0.05
37,15,261,3,0.15
38,15,464,4,0.1
39,16,488,2,0.15
40,16,297,1,0
41,17,258,2,0.05
42,18,244,1,0.15
43,18,177,4,0.15
44,18,250,3,0
45,18,106,1,0.1
46,19,391,1,0.1
47,19,482,4,0.05
48,19,465,4,0
49,20,289,2,0
50,20,283,3,0.05
51,20,163,2,0.1
52,21,475,1,0.1
53,21,71,4,0
54,22,326,3,0.1
55,23,433,1,0.05
56,23,85,1,0
57,24,31,1,0.05
58,24,279,2,0.15
59,24,359,2,0.1
60,24,135,4,0.05
61,25,183,2,0.1
62,25,460,4,0.1
63,25,67,4,0.15
64,25,380,1,0.05
65,25,497,2,0
66,26,413,1,0.05
67,26,121,2,0
68,26,466,1,0
69,27,454,1,0
70,27,234,3,0
71,28,493,2,0.1
72,28,65,4,0.05
73,28,218,2,0.15
74,28,470,2,0.15
75,28,387,4,0.05
76,29,342,1,0.15
77,30,358,4,0.15
78,30,495,4,0
79,30,6,1,0
80,31,444,3,0
81,31,151,2,0.05
82,31,208,2,0.15
83,31,256,2,0.15
84,32,334,3,0.15
85,32,66,2,0
86,33,333,1,0
87,33,494,1,0
88,33,187,2,0.05
89,33,495,4,0.15
90,34,257,2,0.15
91,34,282,1,0.05
92,34,364,4,0
93,34,444,4,0.1
94,35,481,3,0.15
95,35,356,4,0.05
96,35,49,2,0.1
97,35,13,2,0
98,36,87,1,0.1
99,36,126,1,0
100,36,349,4,0.05
101,36,440,1,0
102,36,174,2,0
103,37,247,1,0.05
104,37,477,4,0
105,37,90,2,0
106,37,460,1,0.15
107,37,35,3,0.1
108,38,144,3,0.05
109,38,279,3,0.15
110,39,380,3,0.15
111,39,348,3,0
112,40,193,4,0
113,41,172,2,0.1
114,42,150,3,0
115,42,433,2,0.1
116,43,118,2,0.15
117,43,88,3,0
118,43,393,3,0
119,44,275,3,0
120,44,443,1,0.05
121,45,382,3,0.05
122,45,256,3,0.05
123,45,199,3,0.15
124,46,410,1,0
125,46,139,4,0.1
126,46,38,1,0
127,47,63,2,0.1
128,47,252,2,0.15
129,47,343,4,0
130,48,326,1,0.05
131,49,53,1,0.1
132,49,126,2,0.15
133,49,486,2,0
134,49,372,3,0.1
135,49,397,1,0.1
136,50,243,2,0
137,50,364,3,0.15
138,51,472,2,0.05
139,51,412,2,0.05
140,51,90,4,0
141,51,414,2,0.1
142,51,145,4,0.05
143,52,476,2,0
144,52,364,4,0
145,52,110,4,0.05
146,53,153,4,0.1
147,53,224,3,0.05
148,54,69,1,0.05
149,54,340,4,0.1
150,55,282,1,0.1
151,55,382,3,0.15
152,55,259,3,0
153,56,6,3,0.05
154,57,327,3,0
155,57,440,1,0.15
156,57,125,3,0.1
157,57,358,4,0
158,57,473,4,0.05
159,58,433,1,0.15
160,58,102,1,0.05
161,58,347,3,0.15
162,59,128,3,0.1
163,60,434,3,0.1
164,61,325,3,0.15
165,61,110,3,0.05
166,61,449,2,0.15
167,61,97,4,0.05
168,62,367,3,0.15
169,62,169,1,0.1
170,62,406,3,0.05
171,62,239,4,0.1
172,62,430,4,0.15
173,63,466,2,0.15
174,63,447,2,0
175,63,291,3,0.1
176,63,403,1,0.05
177,64,174,2,0.05
178,64,302,2,0
179,64,223,1,0.05
180,65,351,1,0.15
181,65,314,4,0.05
182,65,424,4,0.15
183,65,144,4,0.05
184,66,326,1,0
185,66,292,4,0.05
186,67,381,4,0
187,67,243,2,0
188,68,105,2,0.15
189,68,497,3,0.15
190,68,219,4,0.15
191,68,96,2,0.15
192,69,281,3,0.05
193,69,153,3,0.15
194,69,374,2,0.1
